T/K,y1,x2,y2,x1,a
353.46,0.977,0.014,0.023,"0.935
",0.636
351.47,0.923,0.047,0.077,"0.904
",0.623
348.63,0.845,0.109,0.155,"0.84
",0.707
345.07,0.728,0.208,0.272,"0.742
",0.750
343.57,0.654,0.318,0.346,"0.631
",0.953
343.14,0.603,0.421,0.397,"0.529
",1.209
343.05,0.552,0.543,0.448,"0.407
",1.644
343.21,0.502,0.654,0.498,"0.296
",2.227
343.80,0.452,0.732,0.548,"0.217
",2.782
344.45,0.408,0.780,0.592,"0.171
",3.144
345.43,0.361,0.819,0.639,"0.130
",3.559
346.84,0.296,0.859,0.704,"0.091
",3.969
348.72,0.209,0.896,0.791,"0.054
",4.384
349.79,0.163,0.912,0.837,"0.039
",4.554
350.52,0.133,0.920,0.867,"0.030
",4.704
350.72,0.123,0.923,0.877,"0.028
",4.623
354.26,0.978,0.031,0.022,"0.870
",1.584
352.28,0.929,0.087,0.071,"0.812
",1.402
347.42,0.785,0.251,0.215,"0.647
",1.416
345.21,0.704,0.371,0.296,"0.528
",1.671
344.26,0.644,0.478,0.356,"0.422
",2.049
344.14,0.611,0.540,0.389,"0.359
",2.363
344.22,0.568,0.610,0.432,"0.290
",2.766
344.86,0.506,0.691,0.494,"0.210
",3.370
346.19,0.434,0.756,0.566,"0.145
",3.998
346.85,0.402,0.777,0.598,"0.124
",4.212
349.08,0.303,0.825,0.697,"0.076
",4.719
350.06,0.261,0.839,0.739,"0.059
",5.022
350.99,0.221,0.853,0.779,"0.048
",5.042
352.70,0.148,0.871,0.852,"0.028
",5.404
353.31,0.122,0.876,0.878,"0.022
",5.533
355.50,0.986,0.042,0.014,"0.807
",3.665
351.67,0.893,0.187,0.107,"0.664
",2.350
347.95,0.784,0.342,0.216,"0.509
",2.439
346.62,0.739,0.416,0.261,"0.433
",2.720
345.98,0.707,0.466,0.293,"0.383
",2.936
345.48,0.656,0.543,0.344,"0.306
",3.384
345.47,0.641,0.563,0.359,"0.287
",3.503
345.81,0.600,0.614,0.400,"0.236
",3.903
346.49,0.557,0.657,0.443,"0.192
",4.302
347.38,0.513,0.692,0.487,"0.157
",4.643
348.50,0.460,0.726,0.540,"0.124
",4.987
350.12,0.391,0.759,0.609,"0.091
",5.355
351.66,0.330,0.781,0.670,"0.069
",5.575
353.41,0.257,0.803,0.743,"0.047
",5.910
354.34,0.215,0.814,0.785,"0.037
",6.025
355.51,0.167,0.823,0.833,"0.027
",6.111
