SeparationFactor,xF,xB,xD,q,StageEfficiency,StageHeight,TrayEffieciency,F,Nmin,Rmin,Ropt,NTheoretical,NActual,FeedTray,ColumnHeight,ReboilerEnergyConsumption,SteamConsumption,B,D,L',V',V'',L''
1.09,0.03,0.02,0.28,0.0,0.7,0.1,1,93,34.2,94.71,113.66,66,93.29,55,9.33,9920.1,4.72,89.42,3.58,4.29,7.87,317.12,406.54
1.09,0.03,0.02,0.28,0.0053763440860215,0.7,0.1,1,93,34.2,94.71,113.66,66,93.29,55,9.33,9935.75,4.73,89.42,3.58,4.29,7.87,317.62,407.04
1.09,0.03,0.02,0.28,0.010752688172043,0.7,0.1,1,93,34.2,94.71,113.66,66,93.29,55,9.33,9951.39,4.74,89.42,3.58,4.29,7.87,318.12,407.54
1.09,0.03,0.02,0.28,0.0161290322580645,0.7,0.1,1,93,34.2,94.71,113.66,66,93.29,55,9.33,9967.03,4.75,89.42,3.58,4.29,7.87,318.62,408.04
1.09,0.03,0.02,0.28,0.021505376344086,0.7,0.1,1,93,34.2,94.71,113.66,66,93.29,55,9.33,9982.67,4.75,89.42,3.58,4.29,7.87,319.12,408.54
1.09,0.03,0.02,0.28,0.0268817204301075,0.7,0.1,1,93,34.2,94.71,113.66,66,93.29,55,9.33,9998.31,4.76,89.42,3.58,4.29,7.87,319.62,409.04
1.09,0.03,0.02,0.28,0.032258064516129,0.7,0.1,1,93,34.2,94.71,113.66,66,93.29,55,9.33,10013.95,4.77,89.42,3.58,4.29,7.87,320.12,409.54
1.09,0.03,0.02,0.28,0.0376344086021505,0.7,0.1,1,93,34.2,94.71,113.66,66,93.29,55,9.33,10029.59,4.78,89.42,3.58,4.29,7.87,320.62,410.04
1.09,0.03,0.02,0.28,0.043010752688172,0.7,0.1,1,93,34.2,94.71,113.66,66,93.29,55,9.33,10045.23,4.78,89.42,3.58,4.29,7.87,321.12,410.54
1.09,0.03,0.02,0.28,0.0483870967741935,0.7,0.1,1,93,34.2,94.71,113.66,66,93.29,55,9.33,10060.87,4.79,89.42,3.58,4.29,7.87,321.62,411.04
1.09,0.03,0.02,0.28,0.053763440860215,0.7,0.1,1,93,34.2,94.71,113.66,66,93.29,54,9.33,10076.51,4.8,89.42,3.58,4.29,7.87,322.12,411.54
1.09,0.03,0.02,0.28,0.0591397849462365,0.7,0.1,1,93,34.2,94.71,113.66,66,93.29,54,9.33,10092.16,4.81,89.42,3.58,4.29,7.87,322.62,412.04
1.09,0.03,0.02,0.28,0.064516129032258,0.7,0.1,1,93,34.2,94.71,113.66,66,93.29,54,9.33,10107.8,4.81,89.42,3.58,4.29,7.87,323.12,412.54
1.09,0.03,0.02,0.28,0.0698924731182795,0.7,0.1,1,93,34.2,94.71,113.66,66,93.29,54,9.33,10123.44,4.82,89.42,3.58,4.29,7.87,323.62,413.04
1.09,0.03,0.02,0.28,0.075268817204301,0.7,0.1,1,93,34.2,94.71,113.66,66,93.29,54,9.33,10139.08,4.83,89.42,3.58,4.29,7.87,324.12,413.54
1.09,0.03,0.02,0.28,0.0806451612903225,0.7,0.1,1,93,34.2,94.71,113.66,65,91.86,54,9.19,10154.72,4.84,89.42,3.58,4.29,7.87,324.62,414.04
1.09,0.03,0.02,0.28,0.086021505376344,0.7,0.1,1,93,34.2,94.71,113.66,65,91.86,54,9.19,10170.36,4.84,89.42,3.58,4.29,7.87,325.12,414.54
1.09,0.03,0.02,0.28,0.0913978494623656,0.7,0.1,1,93,34.2,94.71,113.66,65,91.86,54,9.19,10186.0,4.85,89.42,3.58,4.29,7.87,325.62,415.04
1.09,0.03,0.02,0.28,0.0967741935483871,0.7,0.1,1,93,34.2,94.71,113.66,65,91.86,54,9.19,10201.64,4.86,89.42,3.58,4.29,7.87,326.12,415.54
1.09,0.03,0.02,0.28,0.1021505376344086,0.7,0.1,1,93,34.2,94.71,113.66,65,91.86,54,9.19,10217.28,4.87,89.42,3.58,4.29,7.87,326.62,416.04
1.09,0.03,0.02,0.28,0.1075268817204301,0.7,0.1,1,93,34.2,94.71,113.66,65,91.86,54,9.19,10232.92,4.87,89.42,3.58,4.29,7.87,327.12,416.54
1.09,0.03,0.02,0.28,0.1129032258064516,0.7,0.1,1,93,34.2,94.71,113.66,65,91.86,54,9.19,10248.57,4.88,89.42,3.58,4.29,7.87,327.62,417.04
1.09,0.03,0.02,0.28,0.1182795698924731,0.7,0.1,1,93,34.2,94.71,113.66,65,91.86,54,9.19,10264.21,4.89,89.42,3.58,4.29,7.87,328.12,417.54
