SeparationFactor,xF,xB,xD,StageEfficiency,StageHeight,TrayEffieciency,F,Nmin,Rmin,Ropt,NTheoretical,NActual,FeedTray,ColumnHeight,ReboilerEnergyConsumption,SteamConsumption,B,D,L',V',V'',L''
1.09,0.03,0.01,0.28,0.7,0.1,1,93,42.36,94.71,113.66,81,114.71,48,11.47,25584.02,12.18,89.42,3.58,4.29,7.87,820.24,909.66
1.09,0.03,0.011,0.28,0.7,0.1,1,93,41.24,94.71,113.66,78,110.43,48,11.04,24311.91,11.58,89.42,3.58,4.29,7.87,779.23,868.65
1.09,0.03,0.0119999999999999,0.28,0.7,0.1,1,93,40.22,94.71,113.66,75,106.14,48,10.61,23039.05,10.97,89.42,3.58,4.29,7.87,738.21,827.64
1.09,0.03,0.0129999999999999,0.28,0.7,0.1,1,93,39.28,94.71,113.66,72,101.86,48,10.19,21765.45,10.36,89.42,3.58,4.29,7.87,697.2,786.62
1.09,0.03,0.0139999999999999,0.28,0.7,0.1,1,93,38.41,94.71,113.66,70,99.0,48,9.9,20491.1,9.76,89.42,3.58,4.29,7.87,656.19,745.61
1.09,0.03,0.0149999999999999,0.28,0.7,0.1,1,93,37.6,94.71,113.66,68,96.14,48,9.61,19216.0,9.15,89.42,3.58,4.29,7.87,615.18,704.6
1.09,0.03,0.0159999999999999,0.28,0.7,0.1,1,93,36.84,94.71,113.66,66,93.29,48,9.33,17940.16,8.54,89.42,3.58,4.29,7.87,574.17,663.59
1.09,0.03,0.0169999999999999,0.28,0.7,0.1,1,93,36.12,94.71,113.66,64,90.43,48,9.04,16663.57,7.94,89.42,3.58,4.29,7.87,533.15,622.58
1.09,0.03,0.0179999999999999,0.28,0.7,0.1,1,93,35.45,94.71,113.66,62,87.57,48,8.76,15386.24,7.33,89.42,3.58,4.29,7.87,492.14,581.57
1.09,0.03,0.0189999999999999,0.28,0.7,0.1,1,93,34.81,94.71,113.66,61,86.14,48,8.61,14108.16,6.72,89.42,3.58,4.29,7.87,451.13,540.55
1.09,0.03,0.0199999999999999,0.28,0.7,0.1,1,93,34.2,94.71,113.66,59,83.29,48,8.33,12829.33,6.11,89.42,3.58,4.29,7.87,410.12,499.54
1.09,0.03,0.0209999999999999,0.28,0.7,0.1,1,93,33.62,94.71,113.66,58,81.86,48,8.19,11549.76,5.5,89.42,3.58,4.29,7.87,369.11,458.53
1.09,0.03,0.0219999999999999,0.28,0.7,0.1,1,93,33.07,94.71,113.66,56,79.0,48,7.9,10269.44,4.89,89.42,3.58,4.29,7.87,328.09,417.52
1.09,0.03,0.0229999999999999,0.28,0.7,0.1,1,93,32.54,94.71,113.66,55,77.57,48,7.76,8988.37,4.28,89.42,3.58,4.29,7.87,287.08,376.51
1.09,0.03,0.0239999999999999,0.28,0.7,0.1,1,93,32.04,94.71,113.66,54,76.14,48,7.61,7706.56,3.67,89.42,3.58,4.29,7.87,246.07,335.49
1.09,0.03,0.0249999999999999,0.28,0.7,0.1,1,93,31.55,94.71,113.66,53,74.71,48,7.47,6424.0,3.06,89.42,3.58,4.29,7.87,205.06,294.48
1.09,0.03,0.0259999999999999,0.28,0.7,0.1,1,93,31.09,94.71,113.66,52,73.29,48,7.33,5140.69,2.45,89.42,3.58,4.29,7.87,164.05,253.47
1.09,0.03,0.0269999999999999,0.28,0.7,0.1,1,93,30.64,94.71,113.66,50,70.43,48,7.04,3856.64,1.84,89.42,3.58,4.29,7.87,123.04,212.46
1.09,0.03,0.0279999999999999,0.28,0.7,0.1,1,93,30.2,94.71,113.66,49,69.0,48,6.9,2571.84,1.22,89.42,3.58,4.29,7.87,82.02,171.45
1.09,0.03,0.028999999999999984,0.28,0.7,0.1,1,93,29.78,94.71,113.66,48,67.57,48,6.76,1286.29,0.61,89.42,3.58,4.29,7.87,41.01,130.43
