xB,D,ReboilerEnergyConsumption,diff,SeparationFactor,xF,xD,q,StageEfficiency,StageHeight,TrayEffieciency,F,Nmin,Rmin,Ropt,NTheoretical,NActual,FeedTray,ColumnHeight,SteamConsumption,B,L',V',V'',L''
0.001,6.85,980.14,0.0069887975187218,,,,,,,,,,,,,,,,,,,,,
0.002,6.63,955.05,0.0069420449191141,,,,,,,,,,,,,,,,,,,,,
0.003,6.41,929.82,0.0068938074035834,,,,,,,,,,,,,,,,,,,,,
0.004,6.18,904.44,0.0068329574101101,,,,,,,,,,,,,,,,,,,,,
0.005,5.96,878.92,0.0067810494698038,,,,,,,,,,,,,,,,,,,,,
0.006,5.74,853.25,0.0067272194550249,,,,,,,,,,,,,,,,,,,,,
0.007,5.51,827.43,0.0066591735856809,,,,,,,,,,,,,,,,,,,,,
0.008,5.29,801.46,0.0066004541711376,,,,,,,,,,,,,,,,,,,,,
0.009,5.06,775.33,0.0065262533372886,,,,,,,,,,,,,,,,,,,,,
0.01,4.83,749.06,0.0064480815955998,,,,,,,,,,,,,,,,,,,,,
0.011,4.6,722.63,0.0063656366328549,,,,,,,,,,,,,,,,,,,,,
0.012,4.37,696.05,0.0062782846059909,,,,,,,,,,,,,,,,,,,,,
0.013,4.14,669.31,0.0061854745932378,,,,,,,,,,,,,,,,,,,,,
0.014,3.91,642.41,0.0060864556902912,,,,,,,,,,,,,,,,,,,,,
0.015,3.67,615.36,0.0059639885595423,,,,,,,,,,,,,,,,,,,,,
0.016,3.44,588.15,0.005848848082972,,,,,,,,,,,,,,,,,,,,,
0.017,3.2,560.77,0.0057064393601654,,,,,,,,,,,,,,,,,,,,,
0.018,2.96,533.23,0.0055510755208821,,,,,,,,,,,,,,,,,,,,,
0.019,2.72,505.53,0.0053804917611219,,,,,,,,,,,,,,,,,,,,,
0.02,2.48,477.67,0.0051918688634412,,,,,,,,,,,,,,,,,,,,,
0.021,2.24,449.64,0.0049817631883284,,,,,,,,,,,,,,,,,,,,,
0.022,1.99,421.44,0.0047219058466211,,,,,,,,,,,,,,,,,,,,,
0.023,1.75,393.07,0.0044521332078255,,,,,,,,,,,,,,,,,,,,,
0.024,1.5,364.53,0.0041148876635667,,,,,,,,,,,,,,,,,,,,,
0.025,1.26,335.82,0.00375201000536,,,,,,,,,,,,,,,,,,,,,
0.026,1.01,306.94,0.0032905453834625,,,,,,,,,,,,,,,,,,,,,
